date_code, draw_date,num_1,num_2,num_3,num_4,num_5, MB
date=000000000000000000,12/16/2022,8,35,40,53,56,11
date=638064864000000000,12/13/2022,14,22,48,58,68,6
date=638061408000000000,12/9/2022,8,19,53,61,69,19
date=638058816000000000,12/6/2022,15,16,19,28,47,13
date=638055360000000000,12/2/2022,1,21,36,46,52,16
date=638052768000000000,11/29/2022,20,23,37,46,52,6
date=638049312000000000,11/25/2022,29,31,46,54,67,18
date=638046720000000000,11/22/2022,13,23,24,25,43,2
date=638043264000000000,11/18/2022,2,14,16,38,66,9
date=638040672000000000,11/15/2022,6,19,28,46,61,18
date=638037216000000000,11/11/2022,1,5,17,37,70,22
date=638034624000000000,11/8/2022,5,13,29,38,59,23
date=638031168000000000,11/4/2022,2,20,47,55,59,19
date=638028576000000000,11/1/2022,5,9,15,16,17,25
date=638025120000000000,10/28/2022,4,18,31,53,69,7
date=638022528000000000,10/25/2022,21,30,35,45,66,21
date=638019072000000000,10/21/2022,34,36,43,45,68,22
date=638016480000000000,10/18/2022,1,15,20,44,67,23
date=638013024000000000,10/14/2022,9,22,26,41,44,19
date=638010432000000000,10/11/2022,3,7,11,13,38,1
date=638006976000000000,10/7/2022,6,11,29,36,55,21
date=638004384000000000,10/4/2022,15,18,25,33,38,25
date=638000928000000000,9/30/2022,16,26,37,40,51,6
date=637998336000000000,9/27/2022,8,14,24,43,51,9
date=637994880000000000,9/23/2022,5,50,53,58,64,22
date=637992288000000000,9/20/2022,9,21,28,30,52,10
date=637988832000000000,9/16/2022,15,30,35,38,66,12
date=637986240000000000,9/13/2022,14,25,38,59,64,21
date=637982784000000000,9/9/2022,16,21,54,55,69,22
date=637980192000000000,9/6/2022,6,17,46,59,68,2
date=637976736000000000,9/2/2022,39,40,52,60,67,20
date=637974144000000000,8/30/2022,2,38,55,57,65,17
date=637970688000000000,8/26/2022,6,27,30,38,64,23
date=637968096000000000,8/23/2022,3,5,47,48,67,7
date=637964640000000000,8/19/2022,12,18,24,46,65,3
date=637962048000000000,8/16/2022,33,35,41,45,51,1
date=637958592000000000,8/12/2022,23,24,50,54,64,3
date=637956000000000000,8/9/2022,1,8,10,25,32,13
date=637952544000000000,8/5/2022,2,5,29,64,69,18
date=637949952000000000,8/2/2022,10,14,25,37,63,14
date=637946496000000000,7/29/2022,13,36,45,57,67,14
date=637943904000000000,7/26/2022,7,29,60,63,66,15
date=637940448000000000,7/22/2022,14,40,60,64,66,16
date=637937856000000000,7/19/2022,2,31,32,37,70,25
date=637934400000000000,7/15/2022,8,20,26,53,64,15
date=637931808000000000,7/12/2022,4,7,10,45,64,12
date=637928352000000000,7/8/2022,20,36,61,62,69,20
date=637925760000000000,7/5/2022,27,31,50,51,61,21
date=637922304000000000,7/1/2022,1,27,29,38,62,12
date=637919712000000000,6/28/2022,7,12,21,43,55,11
date=637916256000000000,6/24/2022,1,7,11,25,56,14
date=637913664000000000,6/21/2022,8,13,18,32,42,20
date=637910208000000000,6/17/2022,20,36,53,56,69,16
date=637907616000000000,6/14/2022,30,37,38,42,58,22
date=637904160000000000,6/10/2022,3,12,14,18,32,4
date=637901568000000000,6/7/2022,4,34,40,41,53,3
date=637898112000000000,6/3/2022,11,16,22,48,59,11
date=637895520000000000,5/31/2022,6,15,41,63,64,24
date=637892064000000000,5/27/2022,3,14,40,53,54,8
date=637889472000000000,5/24/2022,3,5,6,63,68,25
date=637886016000000000,5/20/2022,33,40,59,60,69,22
date=637883424000000000,5/17/2022,7,21,24,41,65,24
date=637879968000000000,5/13/2022,11,41,43,44,65,13
date=637877376000000000,5/10/2022,15,19,20,61,70,9
date=637873920000000000,5/6/2022,16,21,33,52,70,10
date=637871328000000000,5/3/2022,15,19,27,35,57,17
date=637867872000000000,4/29/2022,9,11,34,49,66,15
date=637865280000000000,4/26/2022,5,7,19,46,69,2
date=637861824000000000,4/22/2022,7,28,29,58,59,10
date=637859232000000000,4/19/2022,2,9,33,47,53,24
date=637855776000000000,4/15/2022,4,17,20,46,64,23
date=637853184000000000,4/12/2022,2,8,14,20,31,17
date=637849728000000000,4/8/2022,8,11,29,32,40,2
date=637847136000000000,4/5/2022,22,43,60,63,64,18
date=637843680000000000,4/1/2022,26,42,47,48,63,21
date=637841088000000000,3/29/2022,7,22,36,45,47,12
date=637837632000000000,3/25/2022,3,13,42,51,58,17
date=637835040000000000,3/22/2022,8,15,21,27,61,8
date=637831584000000000,3/18/2022,2,6,25,40,45,5
date=637828992000000000,3/15/2022,9,14,28,59,60,24
date=637825536000000000,3/11/2022,24,28,39,44,66,25
date=637822944000000000,3/8/2022,7,18,38,58,64,24
date=637819488000000000,3/4/2022,11,19,28,46,47,5
date=637816896000000000,3/1/2022,18,22,38,39,50,18
date=637813440000000000,2/25/2022,15,31,40,56,66,4
date=637810848000000000,2/22/2022,6,17,22,57,62,3
date=637807392000000000,2/18/2022,6,11,50,63,68,17
date=637804800000000000,2/15/2022,2,4,15,21,63,19
date=637801344000000000,2/11/2022,11,16,23,24,30,24
date=637798752000000000,2/8/2022,1,17,20,52,54,2
