DATE_TIME,DPTemp,DBTemp,Precip,HourlyRelativeHumidity
2014-03-13T00:53:00,33,51,0.00,50
2014-03-13T01:00:00,33,51,,50
2014-03-13T01:53:00,31,49,0.00,50
2014-03-13T02:53:00,31,48,0.00,52
2014-03-13T03:53:00,29,47,0.00,50
2014-03-13T04:53:00,28,46,0.00,50
2014-03-13T05:53:00,28,44,0.00,53
2014-03-13T06:53:00,25,44,0.00,47
2014-03-13T07:00:00,25,44,,47
2014-03-13T07:53:00,25,46,0.00,44
2014-03-13T08:53:00,22,49,0.00,35
2014-03-13T09:53:00,20,52,0.00,28
2014-03-13T10:53:00,20,54,0.00,26
2014-03-13T11:53:00,21,57,0.00,25
2014-03-13T12:53:00,21,59,0.00,23
2014-03-13T13:00:00,21,59,,23
2014-03-13T13:53:00,21,62,0.00,21
2014-03-13T14:53:00,22,63,0.00,21
2014-03-13T15:53:00,22,64,0.00,20
2014-03-13T16:53:00,22,64,0.00,20
2014-03-13T17:53:00,23,63,0.00,22
2014-03-13T18:53:00,25,59,0.00,27
2014-03-13T19:00:00,25,59,,27
2014-03-13T19:53:00,33,49,0.00,55
2014-03-13T20:53:00,33,45,0.00,63
2014-03-13T21:53:00,32,42,0.00,68
2014-03-13T22:53:00,33,41,0.00,73
2014-03-13T23:53:00,32,38,0.00,79
2014-03-13T23:59:00,,,,
2014-03-14T00:53:00,31,37,0.00,79
2014-03-14T01:00:00,31,37,,79
2014-03-14T01:53:00,31,36,0.00,82
2014-03-14T02:53:00,31,35,0.00,85
2014-03-14T03:53:00,29,34,0.00,82
2014-03-14T04:53:00,30,35,0.00,82
2014-03-14T05:53:00,30,35,0.00,82
2014-03-14T06:53:00,28,33,0.00,82
2014-03-14T07:00:00,28,33,,82
2014-03-14T07:53:00,32,40,0.00,73
2014-03-14T08:53:00,26,54,0.00,34
2014-03-14T09:53:00,25,59,0.00,27
2014-03-14T10:53:00,22,62,0.00,21
2014-03-14T11:53:00,22,65,0.00,19
2014-03-14T12:53:00,23,67,0.00,19
2014-03-14T13:00:00,23,67,,19
2014-03-14T13:53:00,26,69,0.00,20
2014-03-14T14:53:00,24,68,0.00,19
2014-03-14T15:53:00,23,68,0.00,18
2014-03-14T16:53:00,30,67,0.00,25
2014-03-14T17:53:00,27,66,0.00,23
2014-03-14T18:53:00,30,60,0.00,32
2014-03-14T19:00:00,30,60,,32
2014-03-14T19:53:00,34,52,0.00,50
2014-03-14T20:53:00,34,48,0.00,58
2014-03-14T21:53:00,34,46,0.00,63
2014-03-14T22:53:00,36,45,0.00,71
2014-03-14T23:53:00,33,41,0.00,73
2014-03-14T23:59:00,,,,
2014-03-15T00:53:00,35,44,0.00,71
2014-03-15T01:00:00,35,44,,71
2014-03-15T01:53:00,33,39,0.00,79
2014-03-15T02:53:00,34,41,0.00,76
2014-03-15T03:53:00,33,39,0.00,79
2014-03-15T04:53:00,35,40,0.00,83
2014-03-15T05:53:00,37,41,0.00,86
2014-03-15T06:53:00,36,40,0.00,86
2014-03-15T07:00:00,36,40,,86
2014-03-15T07:53:00,40,46,0.00,79
2014-03-15T08:53:00,43,56,0.00,62
2014-03-15T09:53:00,45,63,0.00,52
2014-03-15T10:53:00,48,69,0.00,47
2014-03-15T11:53:00,48,72,0.00,43
2014-03-15T12:53:00,48,74,0.00,40
2014-03-15T13:00:00,48,74,,40
2014-03-15T13:53:00,47,76,0.00,36
2014-03-15T14:53:00,48,76,0.00,37
2014-03-15T15:53:00,45,73,0.00,37
2014-03-15T16:53:00,43,71,0.00,36
2014-03-15T17:53:00,48,68,0.00,49
2014-03-15T18:53:00,50,66,0.00,56
2014-03-15T19:00:00,50,66,,56
2014-03-15T19:53:00,50,63,0.00,63
2014-03-15T20:53:00,50,60,0.00,70
2014-03-15T21:53:00,49,56,0.00,77
2014-03-15T22:53:00,50,57,0.00,78
