DATE_TIME,DPTemp,DBTemp,Precip,RHumid
2013-01-01T00:53:00,36,47,0.00,66
2013-01-01T01:53:00,36,43,0.00,76
2013-01-01T02:51:00,37,45,0.00,76
2013-01-01T02:53:00,37,44,0.00,76
2013-01-01T03:53:00,38,45,0.00,77
2013-01-01T04:53:00,39,46,0.00,77
2013-01-01T05:53:00,39,47,0.00,74
2013-01-01T06:53:00,40,47,0.00,77
2013-01-01T07:53:00,41,48,0.00,77
2013-01-01T08:43:00,45,46,0.03,93
2013-01-01T08:51:00,45,46,0.00,93
2013-01-01T08:53:00,45,47,0.07,93
2013-01-01T09:50:00,46,48,0.08,94
2013-01-01T09:53:00,48,49,0.09,97
2013-01-01T10:24:00,48,48,0.01,100
2013-01-01T10:44:00,48,48,0.01,100
2013-01-01T10:53:00,48,49,0.03,97
2013-01-01T10:56:00,48,48,0.00,100
2013-01-01T11:53:00,49,50,0.02,96
2013-01-01T12:02:00,50,50,0.01,100
2013-01-01T12:53:00,50,50,0.03,100
2013-01-01T13:45:00,50,52,0.03,94
2013-01-01T13:53:00,50,51,0.04,96
2013-01-01T14:10:00,52,52,0.02,100
2013-01-01T14:28:00,52,52,0.05,100
2013-01-01T14:53:00,51,52,0.10,97
2013-01-01T15:29:00,52,52,0.07,100
2013-01-01T15:35:00,52,52,0.09,100
2013-01-01T15:48:00,52,52,0.10,100
2013-01-01T15:53:00,51,52,0.08,97
2013-01-01T16:53:00,51,52,0.06,97
2013-01-01T17:00:00,52,52,0.02,100
2013-01-01T17:29:00,52,52,0.10,100
2013-01-01T17:51:00,52,52,0.00,100
2013-01-01T17:53:00,51,51,0.18,100
2013-01-01T18:08:00,52,52,0.06,100
2013-01-01T18:21:00,52,52,0.09,100
2013-01-01T18:24:00,52,52,0.10,100
2013-01-01T18:32:00,52,52,0.00,100
2013-01-01T18:53:00,51,51,0.11,100
2013-01-01T19:53:00,51,51,0.03,100
2013-01-01T20:40:00,50,52,0.03,94
2013-01-01T20:53:00,51,51,0.03,100
2013-01-01T21:53:00,50,51,0.11,96
2013-01-01T22:53:00,50,51,0.06,96
2013-01-01T23:53:00,50,51,0.07,96
2013-01-01T23:59:00,,0,0.00,0
2013-01-02T00:53:00,50,51,0.08,96
2013-01-02T01:53:00,49,50,0.02,96
2013-01-02T02:53:00,47,50,0.00,89
2013-01-02T03:53:00,46,49,0.00,90
2013-01-02T04:53:00,44,48,0.00,86
2013-01-02T05:04:00,45,48,0.00,87
2013-01-02T05:51:00,43,46,0.00,87
2013-01-02T05:53:00,43,47,0.00,86
2013-01-02T06:51:00,41,45,0.00,87
2013-01-02T06:53:00,41,45,0.00,86
2013-01-02T07:53:00,40,43,0.00,89
2013-01-02T08:53:00,39,43,0.00,86
2013-01-02T09:53:00,38,42,0.00,85
2013-01-02T10:53:00,38,43,0.00,82
2013-01-02T11:53:00,37,43,0.00,80
2013-01-02T12:06:00,37,45,0.00,76
2013-01-02T12:37:00,37,45,0.00,76
2013-01-02T12:53:00,38,45,0.00,77
2013-01-02T13:10:00,37,45,0.00,76
2013-01-02T13:53:00,37,44,0.00,76
2013-01-02T14:53:00,37,45,0.00,74
2013-01-02T15:53:00,37,44,0.00,76
2013-01-02T16:01:00,37,45,0.00,76
2013-01-02T16:53:00,37,43,0.00,80
2013-01-02T17:53:00,36,42,0.00,79
2013-01-02T18:37:00,36,41,0.00,81
2013-01-02T18:53:00,36,41,0.00,82
2013-01-02T19:30:00,36,41,0.00,81
2013-01-02T19:53:00,35,41,0.00,79
2013-01-02T20:20:00,36,41,0.00,81
2013-01-02T20:29:00,36,41,0.00,81
2013-01-02T20:53:00,35,40,0.00,83
2013-01-02T21:53:00,35,40,0.00,83
2013-01-02T22:53:00,35,40,0.00,83
2013-01-02T23:53:00,36,39,0.00,89
2013-01-02T23:59:00,,0,0.00,0
2013-01-03T00:53:00,36,40,0.00,86
2013-01-03T01:53:00,36,39,0.00,89
2013-01-03T02:53:00,36,39,0.00,89
2013-01-03T03:53:00,36,39,0.00,89
2013-01-03T04:40:00,36,39,0.00,87
2013-01-03T04:53:00,35,39,0.00,86
2013-01-03T05:00:00,36,39,0.00,87
2013-01-03T05:53:00,34,39,0.00,82
2013-01-03T06:53:00,34,38,0.00,86
2013-01-03T07:53:00,34,38,0.00,86
2013-01-03T08:53:00,33,38,0.00,83
2013-01-03T09:53:00,33,39,0.00,79
2013-01-03T10:53:00,32,40,0.00,73
2013-01-03T11:53:00,32,41,0.00,70
2013-01-03T12:53:00,32,42,0.00,68
2013-01-03T13:53:00,31,44,0.00,60
2013-01-03T14:53:00,31,46,0.00,56
2013-01-03T15:53:00,30,44,0.00,58
2013-01-03T16:53:00,31,44,0.00,60
2013-01-03T17:53:00,30,41,0.00,65
2013-01-03T18:53:00,28,40,0.00,63
2013-01-03T19:53:00,28,38,0.00,68
2013-01-03T20:53:00,28,38,0.00,68
2013-01-03T21:53:00,28,35,0.00,76
2013-01-03T22:53:00,27,36,0.00,70
2013-01-03T23:53:00,28,36,0.00,73
2013-01-03T23:59:00,,0,0.00,0
2013-01-04T00:53:00,26,35,0.00,70
2013-01-04T01:53:00,25,34,0.00,70
2013-01-04T02:53:00,25,33,0.00,72
2013-01-04T03:53:00,24,31,0.00,76
2013-01-04T04:53:00,25,31,0.00,79
2013-01-04T05:53:00,24,31,0.00,76
2013-01-04T06:53:00,23,29,0.00,78
2013-01-04T07:53:00,23,30,0.00,75
2013-01-04T08:53:00,24,32,0.00,73
2013-01-04T09:53:00,25,38,0.00,60
2013-01-04T10:53:00,24,41,0.00,51
2013-01-04T11:53:00,23,44,0.00,43
2013-01-04T12:53:00,22,47,0.00,37
2013-01-04T13:53:00,18,50,0.00,28
2013-01-04T14:53:00,16,50,0.00,26
2013-01-04T15:53:00,14,50,0.00,24
2013-01-04T16:53:00,19,49,0.00,31
2013-01-04T17:53:00,20,45,0.00,37
2013-01-04T18:53:00,21,42,0.00,43
2013-01-04T19:53:00,23,37,0.00,57
2013-01-04T20:53:00,26,33,0.00,75
2013-01-04T21:53:00,24,32,0.00,73
2013-01-04T22:53:00,25,30,0.00,82
2013-01-04T23:53:00,25,30,0.00,82
2013-01-04T23:59:00,,0,0.00,0
2013-01-05T00:53:00,23,30,0.00,75
2013-01-05T01:53:00,23,30,0.00,75
2013-01-05T02:53:00,24,31,0.00,76
2013-01-05T03:53:00,23,31,0.00,72
2013-01-05T04:53:00,23,31,0.00,72
2013-01-05T05:53:00,22,29,0.00,75
2013-01-05T06:53:00,23,29,0.00,78
2013-01-05T07:53:00,23,30,0.00,75
2013-01-05T08:53:00,25,33,0.00,72
2013-01-05T09:53:00,25,36,0.00,64
2013-01-05T10:53:00,24,38,0.00,57
2013-01-05T11:53:00,25,42,0.00,51
2013-01-05T12:53:00,25,44,0.00,47
2013-01-05T13:53:00,25,46,0.00,44
2013-01-05T14:53:00,26,48,0.00,42
2013-01-05T15:53:00,25,48,0.00,41
2013-01-05T16:53:00,26,48,0.00,42
2013-01-05T17:53:00,27,47,0.00,46
2013-01-05T18:53:00,28,47,0.00,48
2013-01-05T19:53:00,30,46,0.00,54
2013-01-05T20:53:00,35,45,0.00,68
2013-01-05T21:53:00,36,44,0.00,73
2013-01-05T22:53:00,38,43,0.00,82
2013-01-05T23:20:00,37,43,0.00,81
2013-01-05T23:53:00,37,43,0.00,80
2013-01-05T23:59:00,,0,0.00,0
2013-01-06T00:53:00,37,43,0.00,80
2013-01-06T01:53:00,37,43,0.00,80
2013-01-06T02:07:00,36,43,0.00,76
2013-01-06T02:53:00,36,43,0.00,76
2013-01-06T03:53:00,36,43,0.00,76
2013-01-06T04:53:00,36,42,0.00,79
2013-01-06T05:53:00,36,42,0.00,79
2013-01-06T06:39:00,36,43,0.00,76
2013-01-06T06:53:00,36,42,0.00,79
2013-01-06T07:53:00,37,42,0.00,82
2013-01-06T08:00:00,37,43,0.00,81
2013-01-06T08:53:00,38,42,0.00,85
